window_type,bw_value,year,scope,trendline_width,candidate,result,estimate,squared_error
epanechnikov,13,2008,iowa,6,HUCKABEE,34.4,29.0778052506,28.3257569503
epanechnikov,13,2008,iowa,6,MCCAIN,13,11.8245721765,1.38163056836
epanechnikov,13,2008,iowa,6,PAUL,9.9,6.59686782754,10.9106821487
epanechnikov,13,2008,iowa,6,ROMNEY,25.2,29.4620264911,18.1648698104
epanechnikov,13,2008,iowa,6,THOMPSON,13.4,11.5472363327,3.43273320694
epanechnikov,13,2012,iowa,6,Romney,24.5,23.5762240578,0.853361991347
epanechnikov,13,2012,iowa,6,Gingrich,13.3,12.1694348804,1.27817748976
epanechnikov,13,2012,iowa,6,Santorum,24.6,20.1270381136,20.007388037
epanechnikov,13,2012,iowa,6,Paul,21.4,19.103083084,5.27582731905
epanechnikov,13,2012,iowa,6,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,6,Huntsman,0.6,2.68303889441,4.33905103561
epanechnikov,13,2012,iowa,6,Perry,10.3,10.5634341919,0.069397573475
epanechnikov,13,2008,iowa,7,GIULIANI,3.4,5.06419814623,2.76955546991
epanechnikov,13,2008,iowa,7,HUCKABEE,34.4,29.044110181,28.6855557533
epanechnikov,13,2008,iowa,7,MCCAIN,13,11.8898662985,1.23239683526
epanechnikov,13,2008,iowa,7,PAUL,9.9,6.5936925781,10.9316687681
epanechnikov,13,2008,iowa,7,ROMNEY,25.2,29.4159093498,17.7738916458
epanechnikov,13,2008,iowa,7,THOMPSON,13.4,11.5188931179,3.53856310181
epanechnikov,13,2012,iowa,7,Romney,24.5,23.5419907579,0.917781707998
epanechnikov,13,2012,iowa,7,Gingrich,13.3,12.2099198194,1.18827480018
epanechnikov,13,2012,iowa,7,Santorum,24.6,20.018891509,20.9865550064
epanechnikov,13,2012,iowa,7,Paul,21.4,19.1407092494,5.10439469563
epanechnikov,13,2012,iowa,7,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,7,Huntsman,0.6,2.67713307753,4.31448182177
epanechnikov,13,2012,iowa,7,Perry,10.3,10.5740802479,0.075119982285
epanechnikov,13,2008,iowa,8,GIULIANI,3.4,5.08932545911,2.85382050678
epanechnikov,13,2008,iowa,8,HUCKABEE,34.4,29.0172539856,28.9739546559
epanechnikov,13,2008,iowa,8,MCCAIN,13,11.9418857185,1.11960583281
epanechnikov,13,2008,iowa,8,PAUL,9.9,6.59107698903,10.9489714925
epanechnikov,13,2008,iowa,8,ROMNEY,25.2,29.380121427,17.4734151448
epanechnikov,13,2008,iowa,8,THOMPSON,13.4,11.4971642638,3.62078383883
epanechnikov,13,2012,iowa,8,Romney,24.5,23.5404804086,0.920677846239
epanechnikov,13,2012,iowa,8,Gingrich,13.3,12.2035620886,1.20217609347
epanechnikov,13,2012,iowa,8,Santorum,24.6,19.8973525602,22.1148929435
epanechnikov,13,2012,iowa,8,Paul,21.4,19.2125179978,4.78507751011
epanechnikov,13,2012,iowa,8,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,8,Huntsman,0.6,2.67317118437,4.2980387597
epanechnikov,13,2012,iowa,8,Perry,10.3,10.5713773111,0.0736456449701
epanechnikov,13,2008,iowa,9,GIULIANI,3.4,5.11104107561,2.92766156243
epanechnikov,13,2008,iowa,9,HUCKABEE,34.4,28.9988558396,29.1723582417
epanechnikov,13,2008,iowa,9,MCCAIN,13,11.9956619512,1.00869491634
epanechnikov,13,2008,iowa,9,PAUL,9.9,6.59474581804,10.9247052074
