,candidateName,primaryPoll,electionYear,betfair,poll1,poll2,poll3,poll4,poll5,poll6,poll7,poll8,poll9,poll10,pollDate1,pollDate2,pollDate3,pollDate4,pollDate5,pollDate6,pollDate7,pollDate8,pollDate9,pollDate10,pollsterName1,pollsterName2,pollsterName3,pollsterName4,pollsterName5,pollsterName6,pollsterName7,pollsterName8,pollsterName9,pollsterName10,pollSampleSize1,pollSampleSize2,pollSampleSize3,pollSampleSize4,pollSampleSize5,pollSampleSize6,pollSampleSize7,pollSampleSize8,pollSampleSize9,pollSampleSize10,pollMode1,pollMode2,pollMode3,pollMode4,pollMode5,pollMode6,pollMode7,pollMode8,pollMode9,pollMode10,contb_total
21,Rubio,iowa,2016,2,5,13,12,10,15,15,13,9,12,14,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,500,522,456,600,422,440,602,530,534,504,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,10746283.24
22,Carson,iowa,2016,0,9,8,11,8,7,9,11,7,6,10,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,600,422,440,602,530,534,504,500,522,456,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,11746359.74
23,Bush,iowa,2016,0,4,6,4,3,3,7,4,4,2,7,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,602,530,534,504,500,522,456,600,422,440,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,23243472.85
24,Christie,iowa,2016,0,5,3,3,6,4,4,3,3,1,3,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,504,500,522,456,600,422,440,602,530,534,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,3976329.13
25,Paul,iowa,2016,0,3,3,5,4,2,5,5,1,2,2,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),456,600,422,440,602,530,534,504,500,522,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,4376828.14
26,Huckabee,iowa,2016,0,2,3,3,2,3,2,2,4,2,3,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,440,602,530,534,504,500,522,456,600,422,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,1895549.15
27,Kasich,iowa,2016,0,4,3,2,3,2,1,2,2,1,2,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),534,504,500,522,456,600,422,440,602,530,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,3734242.12
28,Fiorina,iowa,2016,0,1,3,2,1,1,1,3,3,2,3,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,522,456,600,422,440,602,530,534,504,500,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,4505707.06
29,Santorum,iowa,2016,0,0,2,1,2,1,1,NA,0,1,1,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,422,440,602,530,534,504,500,522,456,600,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,781401.03
30,Gilmore,iowa,2016,0,NA,0,0,NA,NA,NA,NA,NA,0,0,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,530,534,504,500,522,456,600,422,440,602,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,NA
31,Graham,iowa,2016,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,500,522,456,600,422,440,602,530,534,504,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,2932402.63
32,Jindal,iowa,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,600,422,440,602,530,534,504,500,522,456,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,1013918.12
33,Pataki,iowa,2016,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,602,530,534,504,500,522,456,600,422,440,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,365090.98
34,Perry,iowa,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,504,500,522,456,600,422,440,602,530,534,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,1120362.59
35,Walker,iowa,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),456,600,422,440,602,530,534,504,500,522,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,4654810.3
