POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
Quinnipiac,2015-08-27,2015-09-08,140,1038,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22708,,Nonpartisan,None,27,9,5,21,6,1,,5,4,5,1,,1,2,0,1,3
NBC/Marist,2015-08-26,2015-09-02,149,390,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-22684,,Nonpartisan,None,29,4,4,22,6,2,,2,3,5,1,0,0,4,0,0,5
Gravis Marketing,2015-08-29,2015-08-31,153,507,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-22653,,Nonpartisan,None,32,7,6,16,4,2,,1,3,5,1,,0,5,0,1,6
Monmouth University,2015-08-27,2015-08-30,154,405,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22634,,Nonpartisan,None,23,9,4,23,5,1,,4,2,10,2,0,0,1,0,1,7
Loras College,2015-08-24,2015-08-27,157,502,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/loras-college-22645,,Nonpartisan,None,25,7,4,18,10,2,,3,4,5,1,,0,1,0,1,6
Des Moines Register/Bloomberg/Selzer,2015-08-23,2015-08-26,158,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-bloomberg-selzer-22629,,Nonpartisan,None,23,8,6,18,6,2,,2,4,5,1,0,0,2,0,1,8
CNN,2015-08-07,2015-08-11,172,544,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22550,,Nonpartisan,None,22,8,5,14,5,3,,2,7,7,1,0,2,2,0,1,9
Suffolk/USA Today,2015-08-07,2015-08-10,174,500,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22540,,Nonpartisan,None,17,7,10,9,5,2,,3,2,7,1,0,0,1,0,1,12
PPP (D),2015-08-07,2015-08-09,175,619,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22527,,Pollster,Dem,19,9,6,12,11,1,,3,6,10,2,0,0,2,0,2,12
Gravis Marketing/One America News,2015-07-29,2015-07-29,187,277,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22465,,Sponsor,Rep,31,6,3,5,10,1,,5,6,4,3,,1,7,1,2,15
