POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
Public Religion Research Institute,2015-09-11,2015-10-04,109,308,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215,,Nonpartisan,None,25,5,9,16,11,3,2,4,5,13,1,,,0,,,3
Gravis Marketing/One America News,2015-09-30,2015-10-01,123,898,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22863,,Sponsor,Rep,35,7,11,17,7,2,3,3,5,9,1,,0,0,0,,
IBD/TIPP,2015-09-26,2015-10-01,121,377,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-22844,,Nonpartisan,None,17,6,11,24,8,2,3,4,2,9,,,,,,,
Ipsos/Reuters,2015-09-26,2015-09-30,122,481,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22834,,Nonpartisan,None,32,5,7,12,10,5,7,1,3,8,2,1,0,1,0,,
YouGov/Economist,2015-09-25,2015-09-29,123,450,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22830,,Nonpartisan,None,25,9,16,15,7,3,4,4,2,8,1,1,0,2,0,,
Suffolk/USA Today,2015-09-24,2015-09-28,124,380,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822,,Nonpartisan,None,23,6,9,13,8,1,2,2,2,13,0,,1,1,0,,
Morning Consult,2015-09-24,2015-09-27,126,637,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22813,,Nonpartisan,None,30,5,9,15,10,4,3,1,3,9,1,,0,0,1,,
NBC/WSJ,2015-09-20,2015-09-24,128,230,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22803,,Nonpartisan,None,21,5,11,20,7,3,3,6,2,11,1,0,0,1,0,,
Ipsos/Reuters,2015-09-19,2015-09-23,129,572,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22797,,Nonpartisan,None,30,5,6,18,10,3,2,3,3,8,1,2,1,1,0,,2
FOX,2015-09-20,2015-09-22,131,398,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22789,,Nonpartisan,None,26,8,9,18,7,5,2,4,3,9,0,0,0,0,1,,
Bloomberg/Selzer,2015-09-18,2015-09-21,132,391,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22787,,Nonpartisan,None,21,5,8,16,13,4,2,4,3,11,1,0,0,1,0,,1
Quinnipiac,2015-09-17,2015-09-21,131,737,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788,,Nonpartisan,None,25,7,9,17,10,2,1,2,2,12,0,0,0,0,1,,
Morning Consult,2015-09-18,2015-09-20,133,1551,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22771,,Nonpartisan,None,32,5,5,12,11,4,3,2,4,6,1,,0,1,1,,3
Zogby (Internet),2015-09-18,2015-09-19,135,405,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-22775,,Nonpartisan,None,33,5,4,13,9,3,4,4,2,7,1,0,1,0,0,,2
