POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
CNN,2015-09-17,2015-09-19,134,924,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22761,,Nonpartisan,None,24,6,11,14,9,3,4,2,6,15,1,0,0,0,0,,0
NBC/SurveyMonkey,2015-09-16,2015-09-18,135,2070,Registered Voters - Democrat,Internet,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22768,,Nonpartisan,None,29,7,7,14,8,3,3,2,2,11,0,0,0,0,1,,3
Gravis Marketing/One America News,2015-09-16,2015-09-16,138,1337,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22755,,Sponsor,Rep,22,6,15,12,6,4,2,4,2,22,1,1,0,1,0,,3
Ipsos/Reuters,2015-09-12,2015-09-16,136,532,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22748,,Nonpartisan,None,35,5,3,14,8,6,2,2,7,2,1,0,0,1,0,,4
YouGov/Economist,2015-09-11,2015-09-15,137,436,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22742,,Nonpartisan,None,33,8,7,17,7,2,4,3,2,6,1,0,1,0,1,0,5
Morning Consult,2015-09-11,2015-09-13,140,756,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22738,,Nonpartisan,None,33,6,3,17,9,2,5,2,3,3,1,,0,1,2,,2
CBS/Times,2015-09-09,2015-09-13,139,376,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-22735,,Nonpartisan,None,27,5,6,23,6,1,3,3,6,4,1,,0,0,0,1,2
ABC/Post,2015-09-07,2015-09-10,143,342,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-22723,,Nonpartisan,None,33,7,7,20,8,1,5,3,3,2,1,0,0,1,0,1,2
Ipsos/Reuters,2015-09-05,2015-09-09,143,469,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22709,,Nonpartisan,None,35,6,4,12,8,3,3,3,5,2,2,0,1,2,0,2,6
Emerson College Polling Society,2015-09-05,2015-09-08,145,409,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699,,Nonpartisan,None,34,6,8,20,12,1,1,4,4,3,,,0,,,0,5
CNN,2015-09-04,2015-09-08,144,474,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22698,,Nonpartisan,None,32,7,3,19,9,2,3,2,5,3,1,0,1,1,0,0,5
Morning Consult,2015-09-04,2015-09-07,146,722,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22702,,Nonpartisan,None,31,5,4,18,9,4,2,2,4,3,1,,1,1,0,3,4
Monmouth University,2015-08-31,2015-09-02,151,366,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22655,,Nonpartisan,None,30,8,5,18,8,2,2,2,4,4,0,0,0,0,0,1,3
Ipsos/Reuters,2015-08-29,2015-09-02,150,578,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22681,,Nonpartisan,None,31,6,3,15,12,2,2,5,6,3,1,0,0,1,0,2,5
YouGov/Economist,2015-08-28,2015-09-01,151,429,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22658,,Nonpartisan,None,36,6,7,11,8,3,4,4,4,3,1,0,1,1,,0,6
Morning Consult,2015-08-28,2015-08-30,154,769,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22639,,Nonpartisan,None,37,4,6,9,9,3,4,2,6,3,2,,0,1,0,1,5
PPP (D),2015-08-28,2015-08-30,154,572,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22643,,Pollster,Dem,29,6,7,15,9,2,1,6,5,8,2,1,0,0,0,1,5
Ipsos/Reuters,2015-08-22,2015-08-26,157,412,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22625,,Nonpartisan,None,30,5,5,8,7,2,5,1,10,5,1,1,1,1,0,3,5
Quinnipiac,2015-08-20,2015-08-25,158,666,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22620,,Nonpartisan,None,28,7,7,12,7,4,2,5,3,5,1,0,0,0,0,1,6
Gravis Marketing/One America News,2015-08-21,2015-08-22,163,1211,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22623,,Sponsor,Rep,40,7,5,13,10,1,2,5,4,5,1,,1,1,1,2,4
Ipsos/Reuters,2015-08-15,2015-08-19,164,291,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22595,,Nonpartisan,None,29,4,4,9,10,4,5,2,7,5,1,0,1,2,0,4,9
Civis Analytics (D),2015-08-10,2015-08-19,162,757,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/civis-analytics-d-22618,,Pollster,Dem,16,7,7,11,9,2,3,3,7,3,1,0,0,0,0,2,5
YouGov/Economist,2015-08-14,2015-08-18,165,451,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22601,,Nonpartisan,None,25,7,9,11,9,3,3,4,3,6,1,1,0,1,0,0,9
Morning Consult,2015-08-14,2015-08-16,168,783,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22573,,Nonpartisan,None,32,5,6,7,12,4,4,3,6,4,1,,1,1,0,2,3
CNN,2015-08-13,2015-08-16,168,506,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22572,,Nonpartisan,None,24,5,8,9,13,3,6,5,4,5,1,0,0,0,0,2,8
FOX,2015-08-11,2015-08-13,171,381,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22562,,Nonpartisan,None,25,10,4,12,9,3,3,4,6,5,1,0,0,1,1,1,6
Ipsos/Reuters,2015-08-08,2015-08-12,171,457,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22559,,Nonpartisan,None,21,5,8,8,12,3,6,1,7,6,1,,2,2,1,2,5
Rasmussen,2015-08-09,2015-08-10,175,651,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22544,,Nonpartisan,None,17,7,10,8,10,4,4,4,3,9,1,1,1,1,0,1,9
Ipsos/Reuters,2015-08-06,2015-08-10,173,278,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22529,,Nonpartisan,None,24,5,8,8,12,1,3,4,8,6,1,,3,1,0,1,7
Morning Consult,2015-08-07,2015-08-09,175,746,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526,,Nonpartisan,None,32,4,6,9,11,4,5,3,4,3,1,,1,1,0,1,6
NBC/SurveyMonkey,2015-08-07,2015-08-08,177,1591,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22522,,Nonpartisan,None,23,13,8,11,7,1,5,2,4,8,0,0,1,1,0,2,7
Ipsos/Reuters,2015-08-01,2015-08-05,178,344,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22515,,Nonpartisan,None,24,6,4,5,16,3,7,3,5,1,2,,3,1,0,4,12
Zogby (Internet)/ University of Akron,2015-08-03,2015-08-04,181,565,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-university-of-akron-22495,,Nonpartisan,None,26,5,3,2,17,3,3,1,3,1,1,0,0,2,1,2,5
YouGov/Economist,2015-07-31,2015-08-04,179,424,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22516,,Nonpartisan,None,26,6,8,6,12,4,6,1,3,2,0,0,1,3,0,2,14
Morning Consult,2015-07-31,2015-08-03,181,783,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22487,,Nonpartisan,None,25,7,6,7,12,3,5,2,5,1,2,,0,3,1,3,8
FOX,2015-07-30,2015-08-02,182,475,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22473,,Nonpartisan,None,26,6,5,7,15,3,5,3,6,2,2,0,0,1,0,1,9
Monmouth University,2015-07-30,2015-08-02,182,423,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22461,,Nonpartisan,None,26,6,4,5,12,4,4,3,6,2,1,0,1,1,0,2,11
Bloomberg/Selzer,2015-07-30,2015-08-02,182,500,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22475,,Nonpartisan,None,21,4,6,5,10,4,5,4,7,1,2,0,1,1,0,2,8
CBS,2015-07-29,2015-08-02,181,408,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-22476,,Nonpartisan,None,24,6,6,6,13,3,4,1,8,0,1,1,1,2,1,2,10
NBC/WSJ,2015-07-26,2015-07-30,184,252,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22460,,Nonpartisan,None,19,9,5,10,14,3,6,3,6,0,1,0,0,1,0,3,15
Gravis Marketing/One America News,2015-07-29,2015-07-29,187,732,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22497,,Sponsor,Rep,31,6,5,6,13,3,4,5,6,2,2,,1,0,0,3,13
Rasmussen,2015-07-28,2015-07-29,187,471,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22490,,Nonpartisan,None,26,7,5,5,10,2,3,5,7,1,2,,1,2,1,2,14
Ipsos/Reuters,2015-07-25,2015-07-29,185,409,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22486,,Nonpartisan,None,27,3,5,6,11,4,7,4,5,2,2,,2,2,2,3,7
Emerson College Polling Society,2015-07-26,2015-07-28,187,476,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22537,,Nonpartisan,None,31,8,4,5,15,2,4,2,6,3,1,,0,0,0,0,13
Quinnipiac,2015-07-23,2015-07-28,186,710,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22459,,Nonpartisan,None,20,5,6,6,10,3,6,5,6,1,1,0,1,2,1,2,13
Morning Consult,2015-07-23,2015-07-27,187,750,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22452,,Nonpartisan,None,24,4,5,8,13,5,3,4,4,1,2,,1,1,1,1,9
CNN,2015-07-22,2015-07-25,190,419,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22434,,Nonpartisan,None,18,6,7,4,15,4,6,4,5,1,2,0,1,2,1,3,10
PPP (D),2015-07-20,2015-07-21,195,524,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22415,,Pollster,Dem,19,4,10,10,12,3,4,3,8,4,1,0,0,1,0,1,17
YouGov/Economist,2015-07-18,2015-07-20,195,228,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22430,,Nonpartisan,None,28,4,4,7,14,3,5,2,3,3,1,,2,1,0,2,13
Morning Consult,2015-07-17,2015-07-20,195,754,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22405,,Nonpartisan,None,22,4,6,8,15,4,5,,7,2,,,,,,,12
ABC/Post,2015-07-16,2015-07-19,196,341,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-22400,,Nonpartisan,None,24,4,7,6,12,3,6,2,8,0,1,,0,2,1,4,13
Wilson Perkins Allen Opinion Research (R-Cruz),2015-07-14,2015-07-15,201,800,Likely Voters,Live Phone,http://elections.huffingtonpost.com/pollster/polls/wilson-perkins-allen-opinion-research-r-cruz-22446,,Sponsor,Rep,15,8,6,8,11,,4,,5,,,,,,,,17
FOX,2015-07-13,2015-07-15,200,389,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22386,,Nonpartisan,None,18,4,7,6,14,3,8,2,4,1,2,,0,0,0,1,15
Lincoln Park Strategies (D),2015-07-09,2015-07-14,200,297,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/lincoln-park-strategies-d-22402,,Nonpartisan,None,22,9,6,6,13,4,5,1,5,1,2,,0,0,0,3,8
Morning Consult,2015-07-08,2015-07-13,201,762,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22406,,Nonpartisan,None,17,6,9,5,19,6,8,,6,2,,,,,,,7
Monmouth University,2015-07-09,2015-07-12,203,336,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22371,,Nonpartisan,None,13,9,6,6,15,2,6,1,7,1,2,0,1,2,1,2,7
Suffolk/USA Today,2015-07-09,2015-07-12,203,349,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22376,,Nonpartisan,None,17,6,5,4,14,3,4,1,4,1,1,,0,1,0,1,8
YouGov/Economist,2015-07-04,2015-07-06,209,226,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22360,,Nonpartisan,None,15,4,9,7,11,6,11,2,9,3,2,,0,2,0,3,9
YouGov/Economist,2015-06-27,2015-06-29,216,246,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22352,,Nonpartisan,None,11,4,10,9,14,3,11,2,6,6,1,,2,3,0,2,12
CNN,2015-06-26,2015-06-28,217,407,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22330,,Nonpartisan,None,12,3,7,8,17,3,8,3,5,1,4,,1,2,0,4,6
FOX,2015-06-21,2015-06-23,222,378,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22300,,Nonpartisan,None,11,4,8,10,15,2,9,2,6,3,3,,1,2,1,2,9
YouGov/Economist,2015-06-20,2015-06-22,223,235,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22306,,Nonpartisan,None,11,9,11,10,10,2,11,2,6,3,2,,2,0,0,2,10
NBC/WSJ,2015-06-14,2015-06-18,226,236,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22284,,Nonpartisan,None,1,4,14,11,22,4,7,1,9,2,0,,1,0,0,5,17
YouGov/Economist,2015-06-13,2015-06-15,230,235,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22276,,Nonpartisan,None,2,3,10,9,14,4,9,4,7,6,3,,0,1,0,7,9
Monmouth University,2015-06-11,2015-06-14,231,351,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22246,,Nonpartisan,None,2,5,9,11,9,4,6,1,8,2,3,,2,1,0,4,10
PPP (D),2015-06-11,2015-06-14,231,492,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22258,,Pollster,Dem,,8,13,12,15,4,8,,11,5,,,,,,,17
YouGov/Economist,2015-06-06,2015-06-08,237,343,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22247,,Nonpartisan,None,,7,10,10,8,5,9,2,7,7,4,,5,1,0,2,7
FOX,2015-05-31,2015-06-02,243,370,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22210,,Nonpartisan,None,4,8,7,11,12,5,9,2,6,2,2,,2,1,2,4,12
YouGov/Economist,2015-05-30,2015-06-01,244,255,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22218,,Nonpartisan,None,,7,8,6,15,2,10,3,9,5,3,,1,1,0,2,12
CNN,2015-05-29,2015-05-31,245,483,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22199,,Nonpartisan,None,3,8,14,7,13,4,8,1,10,1,2,,1,1,3,5,10
ABC/Post,2015-05-28,2015-05-31,245,362,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-22200,,Nonpartisan,None,4,8,10,8,10,6,11,3,9,2,4,,1,0,1,2,11
Quinnipiac,2015-05-19,2015-05-26,248,679,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22181,,Nonpartisan,None,5,6,10,10,10,4,7,2,10,2,0,,1,1,0,1,10
YouGov/Economist,2015-05-23,2015-05-25,251,209,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22188,,Nonpartisan,None,,6,16,12,10,3,9,1,10,2,0,,1,2,,4,13
YouGov/Economist,2015-05-16,2015-05-18,258,229,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22155,,Nonpartisan,None,,4,12,11,7,7,10,4,9,2,1,,1,1,,2,17
Robert Morris University,2015-05-08,2015-05-16,257,255,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/robert-morris-university-22215,,Nonpartisan,None,,7,15,7,15,8,2,,8,,1,,,,,,14
FOX,2015-05-09,2015-05-12,264,413,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22132,,Nonpartisan,None,4,6,9,13,13,6,7,2,10,1,2,,0,1,0,2,11
YouGov/Economist,2015-05-09,2015-05-11,265,246,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22145,,Nonpartisan,None,,8,17,9,10,3,6,1,11,4,2,,1,1,,1,14
PPP (D),2015-05-07,2015-05-10,266,685,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22128,,Pollster,Dem,,10,13,12,11,5,9,,12,,,,,,,2,18
YouGov/Economist,2015-05-02,2015-05-04,272,218,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22109,,Nonpartisan,None,,7,11,4,14,7,9,5,7,0,1,,0,0,,6,16
NBC/WSJ,2015-04-26,2015-04-30,275,251,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22096,,Nonpartisan,None,,11,18,7,23,5,11,,5,1,,,,,,2,14
YouGov/Economist,2015-04-25,2015-04-27,279,233,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22090,,Nonpartisan,None,,7,17,5,9,5,8,2,6,2,1,,2,2,,2,19
FOX,2015-04-19,2015-04-21,285,383,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-22059,,Nonpartisan,None,5,8,13,6,9,6,10,2,9,0,1,,1,1,1,2,12
Quinnipiac,2015-04-16,2015-04-21,284,567,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22054,,Nonpartisan,None,,9,15,3,13,7,8,2,7,1,2,,2,1,,3,11
YouGov/Economist,2015-04-18,2015-04-20,286,220,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22055,,Nonpartisan,None,,11,9,10,13,6,11,1,5,1,1,,0,2,,2,15
CNN,2015-04-16,2015-04-19,287,435,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-22036,,Nonpartisan,None,,7,11,4,17,4,11,2,9,2,3,,2,2,0,3,12
YouGov/Economist,2015-04-11,2015-04-13,293,228,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22021,,Nonpartisan,None,,13,7,7,12,4,13,2,4,3,2,,2,1,,4,14
Monmouth University,2015-03-30,2015-04-02,304,355,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-21979,,Nonpartisan,None,7,11,5,7,13,5,6,1,9,1,1,,1,1,0,5,11
FOX,2015-03-29,2015-03-31,306,379,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-21968,,Nonpartisan,None,3,10,8,11,12,4,9,1,10,1,2,,0,2,1,3,15
PPP (D),2015-03-26,2015-03-31,305,443,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21958,,Pollster,Dem,,16,6,10,17,4,10,,6,,,,,,,3,20
ABC/Post,2015-03-26,2015-03-29,308,444,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-21963,,Nonpartisan,None,,12,8,6,21,7,8,1,8,1,2,,1,1,,2,13
YouGov/Economist,2015-03-21,2015-03-23,314,235,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21931,,Nonpartisan,None,,8,5,10,14,6,5,2,5,3,1,,1,2,,5,19
CNN,2015-03-13,2015-03-15,322,450,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-21887,,Nonpartisan,None,,4,7,9,16,7,12,2,10,0,1,,1,1,,4,13
McClatchy/Marist,2015-03-01,2015-03-04,333,426,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-21830,,Nonpartisan,None,,4,5,9,19,6,7,,10,2,2,,1,,,3,18
Quinnipiac,2015-02-26,2015-03-02,334,554,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21821,,Nonpartisan,None,,6,5,7,16,8,6,1,8,,2,,1,2,,1,18
YouGov/Economist,2015-02-21,2015-02-23,342,255,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21792,,Nonpartisan,None,,5,8,6,16,7,10,1,10,0,2,,3,3,,3,18
PPP (D),2015-02-20,2015-02-22,343,316,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21776,,Pollster,Dem,,5,3,18,17,5,4,,10,,,,,,,3,25
CNN,2015-02-12,2015-02-15,350,1027,Adults,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-21748,,Nonpartisan,None,,3,5,8,14,7,10,2,16,1,3,,1,1,,3,11
FOX,2015-01-25,2015-01-27,369,394,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-21658,,Nonpartisan,None,,4,5,9,10,4,11,1,11,,1,,1,2,,4,8
PPP (D),2015-01-22,2015-01-25,371,400,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21663,,Pollster,Dem,,9,,15,17,7,4,,9,,,,,,,2,11
YouGov/Economist,2015-01-10,2015-01-12,384,212,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21599,,Nonpartisan,None,,9,2,10,12,3,8,,8,,,,0,,,2,6
CNN,2014-12-18,2014-12-21,406,453,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-21580,,Nonpartisan,None,,4,5,7,23,13,6,3,6,,2,,,4,,4,4
ABC/Post,2014-12-11,2014-12-14,413,410,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-21520,,Nonpartisan,None,,6,4,7,10,6,9,2,6,,3,,,2,,4,5
FOX,2014-12-07,2014-12-09,418,392,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-21521,,Nonpartisan,None,,5,4,6,10,8,8,2,8,,1,,,1,,2,7
McClatchy/Marist,2014-12-03,2014-12-09,416,360,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-21519,,Nonpartisan,None,,4,3,8,14,9,5,2,9,1,3,,,1,,4,3
CNN,2014-11-21,2014-11-23,434,510,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-21482,,Nonpartisan,None,,5,3,10,9,8,6,2,7,,2,,,1,,4,5
Quinnipiac,2014-11-18,2014-11-23,433,707,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21481,,Nonpartisan,None,,5,2,8,11,8,6,2,5,,1,,,2,,2,5
ABC/Post,2014-10-09,2014-10-12,476,,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-20885,,Nonpartisan,None,,3,6,6,10,8,9,1,10,,4,,,1,,5,1
McClatchy/Marist,2014-08-04,2014-08-07,542,342,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-20111,,Nonpartisan,None,,10,9,,13,13,7,,,,3,,,2,,7,4
FOX,2014-07-20,2014-07-22,558,358,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-19979,,Nonpartisan,None,,9,9,,12,10,11,2,,,3,,,4,,12,4
CNN,2014-07-18,2014-07-20,560,470,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-19958,,Nonpartisan,None,,8,6,,8,13,12,,12,,3,,,,,11,5
Quinnipiac,2014-06-24,2014-06-30,578,620,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-19810,,Nonpartisan,None,,8,6,,10,10,11,2,10,,2,,,1,,3,8
Zogby (Internet),2014-06-27,2014-06-29,581,282,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-19825,,Nonpartisan,None,,,7,,13,13,20,1,,,,,,4,,,8
CNN,2014-05-29,2014-06-01,609,452,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-19676,,Nonpartisan,None,,9,8,,12,8,14,,11,,4,,,,,6,5
CNN,2014-05-02,2014-05-04,637,473,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-19385,,Nonpartisan,None,,7,6,,13,9,13,,10,,2,,,,,8,7
ABC/Post,2014-04-24,2014-04-27,644,,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-19341,,Nonpartisan,None,,7,6,,12,9,15,1,14,,,,,2,,5,5
FOX,2014-04-13,2014-04-15,656,384,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-19256,,Nonpartisan,None,,7,8,,14,15,14,,,,5,,,2,,5,5
McClatchy/Marist,2014-04-07,2014-04-10,661,416,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-19249,,Nonpartisan,None,,4,7,,13,12,12,0,13,,3,,,4,,3,5
Reason/Rupe,2014-03-26,2014-03-30,671,,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/reason-rupe-19173,,Nonpartisan,None,,6,6,,11,10,11,,15,,,,,1,,,5
Wilson Perkins Allen Opinion Research (R),2014-03-18,2014-03-20,682,801,Adults - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/wilson-perkins-allen-opinion-research-r-19164,,Pollster,Rep,,9,6,,11,9,13,,13,,3,,,3,,1,5
